user_id,frequency,recency,T,monetary_value,total_orders,total_spend,avg_order_value,unique_products,avg_basket_size,interpurchase_std,is_one_time_buyer,cancellation_rate,country,actual_holdout_transactions,actual_holdout_revenue,purchased_in_holdout,recency_ratio,country_enc,p_purchase,is_test,spend_tier,expected_revenue_if_purchase,clv_180d,clv_12m,propensity_decile,segment
12346,11,141,541,7046.496363636365,12,77556.46,6463.038333333334,27,2.8333333333333335,65.42698914890481,0,0.2941176470588235,United Kingdom,0,0.0,0,0.2606284658040665,38,0.6548854112625122,False,High Spend,2866.18,1877.019468052387,3743.781999120881,7,High Value
12347,3,62,220,607.81,4,2434.96,608.74,90,31.0,16.703293088490067,0,0.0,Iceland,4,2486.57,1,0.2818181818181818,16,0.8195427894592285,False,High Spend,2866.18,2348.9571522922515,4685.078473151212,9,High Value
12348,3,64,254,389.08,4,1388.4,347.09999999999997,24,10.0,21.37755832643195,0,0.0,Finland,1,270.0,1,0.2519685039370078,12,0.7527235150337219,False,High Spend,2866.18,2157.441084319353,4303.092873095978,8,High Value
12349,1,223,405,1152.62,2,2221.14,1110.57,89,50.0,0.0,0,0.25,Italy,1,1457.55,1,0.5506172839506173,18,0.5982216358184814,False,High Spend,2866.18,1714.610888150215,3419.852317895238,7,High Value
12350,0,126,126,294.4,1,294.4,294.4,16,16.0,0.0,1,0.0,Norway,0,0.0,0,1.0,26,0.3766130566596984,True,Mid Spend,850.75,320.4035579532384,639.0562767919782,4,Growing
12351,0,191,191,300.93,1,300.93,300.93,21,21.0,0.0,1,0.0,Unspecified,0,0.0,0,1.0,39,0.3534222662448883,False,Mid Spend,850.75,300.67399300783876,599.7049587314817,4,Low Value
12352,5,78,208,168.312,6,985.31,164.21833333333333,36,8.5,30.078231330980884,0,0.3,Norway,3,744.23,1,0.375,26,0.7138790845870971,False,Low Spend,402.12,287.0650574941635,572.5614534719655,8,Low Value
12353,1,20,224,89.0,2,406.76,203.38,23,12.0,0.0,0,0.0,Bahrain,0,0.0,0,0.0892857142857142,2,0.5213542342185974,False,Low Spend,402.12,209.64696466398237,418.14831749919983,6,Low Value
12354,0,48,48,1079.4,1,1079.4,1079.4,58,58.0,0.0,1,0.0,Spain,0,0.0,0,1.0,32,0.6401659607887268,True,High Spend,2866.18,1834.8308734934328,3659.6353487710544,7,High Value
12355,1,30,383,459.4,2,947.61,473.805,35,17.5,0.0,0,0.0,Bahrain,0,0.0,0,0.0783289817232376,2,0.4710354149341583,False,High Spend,2866.18,1350.0722855759857,2692.767126968496,5,Growing
12356,4,61,240,1188.735,5,5553.38,1110.676,103,27.2,29.37544325906703,0,0.0,Portugal,1,58.349999999999994,1,0.2541666666666666,28,0.8677548289299011,False,High Spend,2866.18,2487.1415355823037,4960.692133811699,9,High Value
12357,0,204,204,11229.99,1,11229.99,11229.99,164,164.0,0.0,1,0.0,Switzerland,1,6207.67,1,1.0,34,0.4011437177658081,False,High Spend,2866.18,1149.7501009860039,2293.217414534926,4,Growing
12358,2,191,547,544.59,3,2519.01,839.6700000000001,51,18.666666666666668,4.949747468305833,0,0.0,Austria,2,928.06,1,0.3491773308957952,1,0.5113704681396485,False,High Spend,2866.18,1465.6798083724975,2923.350437464271,6,High Value
12359,8,5,550,662.3,9,6059.09,673.2322222222223,230,28.88888888888889,43.54882317583335,0,0.25,Cyprus,1,2814.3,1,0.009090909090909,7,0.9808278918266295,True,High Spend,2866.18,2811.229286995649,5607.096665319191,10,High Value
